image_id,file_path,SMILES,hydrogen_atom_count,has_aromatic_ring
US07323448-20080129-C00068,synthetic/indigo_resize/US07323448-20080129-C00068.png,CCCC[C@H](CN(O)C=O)C(=O)N1CCOCC1,22.0,0
US07323448-20080129-C00065,synthetic/indigo_resize/US07323448-20080129-C00065.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@@H](CCCCN)C(=O)N(C)C,32.0,0
US07323447-20080129-C00040,synthetic/indigo_resize/US07323447-20080129-C00040.png,CC(C)(C)OC(=O)NC1(C(=O)O)CC1,15.0,0
US07317008-20080108-C00057,synthetic/indigo_resize/US07317008-20080108-C00057.png,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)CC2(C)C)C(C)(C)CC(O)C1,56.0,0
US07320754-20080122-C00008,synthetic/indigo_resize/US07320754-20080122-C00008.png,COCC(O)CSCCC(N)C(=O)NCCN(C)C,27.0,0
US07314937-20080101-C00113,synthetic/indigo_resize/US07314937-20080101-C00113.png,CC1CCCCN1CCN,18.0,0
US07314883-20080101-C00189,synthetic/indigo_resize/US07314883-20080101-C00189.png,CC(C)(C)OC(=O)NC(CN1CCC(O)CC1)C(=O)N1CCC(N2CCCCC2)CC1,42.0,0
US07314576-20080101-C00034,synthetic/indigo_resize/US07314576-20080101-C00034.png,CCCCCCCC1CCCC(=O)O1,22.0,0
US07314945-20080101-C00003,synthetic/indigo_resize/US07314945-20080101-C00003.png,CCCC(=O)OC(=O)CN(C)C(=N)N,15.0,0
US07314576-20080101-C00011,synthetic/indigo_resize/US07314576-20080101-C00011.png,CC(CC=C1C[C@@H](C)OC1=O)CC(C)(C)C,24.0,0
US07320977-20080122-C00052,synthetic/indigo_resize/US07320977-20080122-C00052.png,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1,20.0,0
US07323447-20080129-C00071,synthetic/indigo_resize/US07323447-20080129-C00071.png,CC(C)(C)OC(=O)NS(=O)(=O)CCCCl,16.0,0
US07323448-20080129-C00044,synthetic/indigo_resize/US07323448-20080129-C00044.png,CCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,37.0,0
US07314576-20080101-C00013,synthetic/indigo_resize/US07314576-20080101-C00013.png,CCCCC1CCC(=O)O1,14.0,0
US07317101-20080108-C00182,synthetic/indigo_resize/US07317101-20080108-C00182.png,CNC(=S)N1CCN(C)CC1,15.0,0
US07316884-20080108-C00058,synthetic/indigo_resize/US07316884-20080108-C00058.png,CC1(Br)OC2(OC1=O)C1CC3CC(C1)CC2C3,17.0,0
US07316884-20080108-C00066,synthetic/indigo_resize/US07316884-20080108-C00066.png,C.C.C.C.C.C.CCC1(CC(C)(CC(C)(C)C(=O)OC2COC(=O)C2)C(=O)OC2(C)C3CC4CC(C3)CC2C4)OC2(CCCCC2)OC1=O,74.0,0
USRE039991-20080101-C00051,synthetic/indigo_resize/USRE039991-20080101-C00051.png,CC(C)(C)CCOC(=O)C1(C)CC(N)CC(C)(C)C1,31.0,0
US07315341-20080101-C00064,synthetic/indigo_resize/US07315341-20080101-C00064.png,C.C.CCC(C)C(=O)NC1CC2CC1C1CCCC21,33.0,0
US07314576-20080101-C00029,synthetic/indigo_resize/US07314576-20080101-C00029.png,CCCCCC[C@]1(C)CCC(=O)O1,20.0,0
US07323286-20080129-C00103,synthetic/indigo_resize/US07323286-20080129-C00103.png,CCOCOC(CC1CC2CC1C(C)C2CC1C(CC)C2CC(CC(O)(C(F)(F)F)C(F)(F)F)C1C2)(C(F)(F)F)C(F)(F)F,40.0,0
US07323448-20080129-C00024,synthetic/indigo_resize/US07323448-20080129-C00024.png,CCCCC(CN(O)C=O)C(=O)N[C@H](CO)CC(C)C,28.0,0
US07316999-20080108-C00054,synthetic/indigo_resize/US07316999-20080108-C00054.png,CC(C)(C)OC(=O)NOCCC(N)C(=O)N1CCOCC1,25.0,0
US07314653-20080101-C00137,synthetic/indigo_resize/US07314653-20080101-C00137.png,CCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,62.0,0
US07320805-20080122-C00001,synthetic/indigo_resize/US07320805-20080122-C00001.png,CCCCCCCCCCCCCCCC(=O)NCCO,37.0,0
US07314936-20080101-C00485,synthetic/indigo_resize/US07314936-20080101-C00485.png,CN[C@H]1CC[C@@H](OC)CC1,17.0,0
US07314576-20080101-C00031,synthetic/indigo_resize/US07314576-20080101-C00031.png,O=C1OC[C@H]2CCCC[C@@H]12,12.0,0
US07314943-20080101-C00094,synthetic/indigo_resize/US07314943-20080101-C00094.png,COC(F)(F)C1CCC(C)CC1,16.0,0
US07323502-20080129-C00035,synthetic/indigo_resize/US07323502-20080129-C00035.png,CCCON1C(C)(C)CC(C)CC1(C)C,27.0,0
US07314576-20080101-C00035,synthetic/indigo_resize/US07314576-20080101-C00035.png,CCCCCCC1CCOC1=O.CCCCCCC1COC(=O)C1,36.0,0
US07316185-20080108-C00031,synthetic/indigo_resize/US07316185-20080108-C00031.png,CCCCN1C(=O)C(=C2C=C(C)C3=CCC(N(CC)CC)C=C3O2)C(=O)N(CCCC)C1=S,37.0,0
US07314576-20080101-C00022,synthetic/indigo_resize/US07314576-20080101-C00022.png,CCCC[C@@H]1C[C@H](C)OC1=O,16.0,0
